1,15166;3405;11651;4407;15283
2,12897;1844;15423;15516;943
3,3010;8694;2108;7301;2119
4,126;756;710;1351;777
5,1271;5511;2679;4036;5486
6,954;691;671;6797;8035
7,7500;4605;11293;7493;3580
8,11106;6144;5612;3210;13588
9,4863;11907;6957;4904;6980
10,7787;8224;831;4900;9783
11,3661;4781;241;2915;3469
12,4778;2435;3867;1920;2830
13,15879;1911;13196;15325;12306
14,7055;2537;3076;2590;4580
15,5803;4078;12572;4421;11193
16,15114;4180;16046;3084;489
17,1182;2795;8878;14023;8233
18,6573;5702;2720;4140;15484
19,1325;10031;13467;5995;3065
20,11329;10506;1021;12843;13444
21,945;1666;1114;329;1013
22,995;1008;3366;1627;753
23,281;2984;815;6972;1708
24,14783;768;3803;1738;3089
25,15601;29;10945;13973;15677
26,5317;1721;1975;5551;2160
27,6417;4019;11744;8716;4588
28,2692;6804;11851;7208;741
29,3415;1346;1182;3177;8792
30,1193;1975;2610;1916;1889
31,14505;1641;3171;1564;4587
32,3735;3819;12879;6178;3025
33,7546;9165;9967;8505;10606
34,12116;16384;15859;15413;11033
35,2241;2222;1214;7916;4821
36,2921;2654;7899;2481;69
37,11237;9303;7391;1930;50
38,136;3294;2902;3092;2692
39,13535;11338;443;12280;2957
40,5636;5630;5622;5616;5626
41,3092;2390;11160;4393;7111
42,1148;1981;1380;1443;6320
43,1949;1461;1137;4258;10617
44,522;1214;454;10556;3809
45,17;381;3429;11206;1797
46,5514;673;1886;246;83
47,14277;15610;13110;13864;14636
48,10777;6433;1811;7597;1583
49,4304;1214;3442;1666;8155
50,8777;1620;1649;7059;1544
51,9393;1666;945;1195;1182
52,3915;11955;5212;4855;2463
53,2447;808;1404;5040;910
54,12225;5788;11572;11250;6304
55,6116;2665;10283;880;6661
56,768;12527;496;13013;9775
57,6835;5769;1938;4364;6809
58,12245;14608;15224;14265;15365
59,9354;10908;12441;11916;9557
60,846;2230;2227;930;1197
61,3805;37;1204;1105;5122
62,1666;3415;2236;10845;8872
63,13309;13223;11916;6654;11667
64,918;1911;5543;1419;5673
65,4696;11916;8748;6964;4695
66,2449;1768;4249;7102;5647
67,741;761;1010;923;1380
68,7895;7263;3982;2359;12182
69,5669;11381;11389;11479;11443
70,14560;15210;14496;14462;10683
71,4344;1707;2553;1105;1975
72,4344;491;1083;3425;8013
73,29;478;2779;1143;12391
74,2915;6431;6485;3097;2895
75,15268;13110;15615;7050;15421
76,7359;1558;251;1674;9774
77,2302;9495;4255;13967;1988
78,3019;12358;3343;9121;10820
79,13771;13657;13675;10540;13663
80,2463;2795;7923;1265;13365
81,2434;986;12521;4331;1215
82,857;9383;1921;2753;16813
83,572;5208;3101;6660;1409
84,5951;914;3017;8708;881
85,4930;2819;2732;4079;1731
86,1210;7140;2389;1902;8977
87,9786;12378;3096;5121;6442
88,643;5551;1825;1823;1831
89,4433;2713;12651;6470;2298
90,431;4581;810;4463;5782
91,29;401;484;8792;4031
92,1435;137;3121;664;288
93,1713;7837;6417;5412;3859
94,177;505;7738;5812;1244
95,4953;151;308;1244;383
96,1470;6128;2473;1748;5003
97,889;2931;1947;682;235
98,2088;547;552;133;3177
99,1114;5268;463;12882;5751
100,2829;889;4428;3923;7923
101,2379;3973;8027;6769;1753
102,1892;2236;4749;3294;901
103,1137;2018;9234;12133;681
104,10606;4422;11338;15072;10153
105,292;10899;13616;4063;3392
106,1385;596;2516;569;12015
107,16247;14287;16450;12291;15951
108,2463;8193;1043;133;10444
109,24;486;4926;1049;4208
110,2729;12527;5589;1818;2723
111,11468;11484;2070;11387;1158
112,15;8327;3933;15896;3943
113,121;5121;1435;2125;444
114,13302;768;4351;5233;5451
115,2221;522;9828;5693;2229
116,5869;1926;8218;4455;6470
117,906;15;7201;1756;4137
118,15237;15779;15742;531;16066
119,2795;2490;3176;2222;918
120,4732;4821;4738;525;14562
121,13009;7651;10986;2098;12174
122,12588;8860;12806;5509;1502
123,15166;12440;6875;15912;14610
124,9027;3749;13482;3897;6794
125,2931;1931;1135;8695;7271
126,2209;11931;838;9148;8802
127,15042;15238;16745;16559;14716
128,11996;7268;10317;42;4292
129,14989;16085;16157;15610;15198
130,6189;1201;8137;13884;2726
131,9418;12478;8853;5253;12638
132,1410;3737;10238;9091;14534
133,16688;16905;14704;13959;15401
134,972;8025;2593;3669;8800
135,7143;336;4539;1398;7741
136,2692;6604;13434;639;3327
137,7824;846;9124;7422;6448
138,6662;1297;5476;503;1318
139,1105;930;6270;1027;8588
140,832;7241;7239;860;8157
141,15610;15485;15700;15198;15883
142,1996;5691;14003;2476;11100
143,1091;2615;1400;9920;10661
144,3982;9165;8421;11329;14178
145,110;121;4824;69;3134
146,13864;14759;14182;15248;14664
147,2618;5781;568;9760;1157
148,11494;7032;3900;1670;12225
149,143;6092;9291;3809;4328
150,9967;10431;6542;7764;918
151,14809;2713;13145;16354;844
152,1210;1095;4749;10433;5712
153,2806;7565;14276;11423;2563
154,9967;2490;10637;18;10434
155,15;29;2779;482;8115
156,4587;1548;7256;11073;4969
157,2466;13248;6694;3272;3304
158,11813;12690;4284;527;13876
159,1358;15;469;10242;2039
160,1105;10020;446;7197;705
161,889;1086;1404;2293;1932
162,16869;15187;16379;16529;16684
163,6232;7518;3768;2398;3644
164,747;844;1477;2469;2299
165,4449;8793;12353;7826;282
166,14148;7077;5681;15358;15198
167,447;6756;4623;14436;6760
168,2716;2654;2473;3044;3262
169,1767;6870;668;8808;7791
170,2999;12485;491;1051;171
171,2300;4451;757;3004;3352
172,10850;1470;9424;6885;2899
173,3982;5035;8159;7764;8238
174,2866;900;4414;3553;4889
175,4988;10673;3236;452;12320
176,1351;1025;1284;15683;3090
177,1204;1207;2352;4172;935
178,5390;1239;11517;5553;1470
179,1183;4480;5441;7658;9277
180,12175;3134;7787;12152;12130
181,8438;564;6654;6863;1245
182,7735;2009;2761;1483;4345
183,14505;11073;16172;7918;13256
184,1241;3251;2297;4472;5051
185,4138;2878;5340;7001;8253
186,11707;3761;9206;5154;10886
187,1143;12572;10606;14178;680
188,13477;16387;5165;12343;10566
189,4070;7607;6444;9768;10710
190,7210;4913;9332;1830;5314
191,5604;8512;4995;1429;1284
192,2451;949;4591;14204;2453
193,16318;16387;15018;14664;16856
194,2713;5869;7428;2738;6933
195,1501;114;170;4966;5597
196,15527;16749;16097;14423;15482
197,646;13309;3105;9617;1754
198,2217;922;3415;454;4947
199,6417;6849;4621;3592;4140
200,1214;4327;2930;5431;6782
201,13657;13771;13675;13663;10540
202,16106;15042;14989;16157;15872
203,10248;5006;5193;5254;9026
204,14733;679;2583;10924;14622
205,16116;15664;15650;16565;15268
206,5071;1958;5636;5630;5622
207,13912;11578;15872;14919;15700
208,4253;10922;4881;1930;4259
209,6417;8386;3343;4872;15283
210,5938;8605;6965;415;1226
211,7673;2743;2054;7899;3880
212,2168;1485;8912;3764;978
213,248;2389;1566;1210;6495
214,1929;844;448;1904;121
215,3090;1137;1131;435;616
216,16;1617;1646;1569;5692
217,3660;12331;285;1708;900
218,1010;1181;12936;4821;7819
219,13225;2337;7037;3459;4283
220,8298;11955;14150;15812;12206
221,10875;10393;3109;3835;4725
222,48;255;814;59;6419
223,7546;9967;9165;8512;6542
224,2222;4182;454;1123;5608
225,11106;1549;4694;9228;8310
226,1267;15513;12221;5436;12829
227,282;4461;2799;287;2789
228,7171;14178;5013;4240;15022
229,1633;51;2816;1543;1606
230,839;7973;2001;2682;13796
231,4863;11907;6957;4904;6980
232,2607;11676;1921;4132;1465
233,8174;8542;8395;8680;4436
234,14787;11572;15198;11797;8382
235,5462;4558;11037;5488;5723
236,8989;7811;6018;16948;7633
237,5750;6243;7154;7725;938
238,15857;16502;14716;16008;4047
239,9013;7431;10113;2767;10953
240,13925;11310;1502;9427;10366
241,6128;3353;6281;1431;14810
242,1920;8774;4881;4349;6354
243,10470;10350;1633;10362;10307
244,12524;13587;16392;5914;14410
245,8722;435;2463;2760;360
246,6851;108;8907;1569;253
247,11872;16344;8842;16621;7811
248,5153;10328;1095;3432;524
249,136;710;4781;774;18
250,7673;1929;3130;11141;3908
251,5837;14768;1068;4894;12006
252,1182;4690;656;922;3415
253,15615;16155;16804;12766;15522
254,12990;15413;3089;14369;15008
255,10001;619;14157;14275;12142
256,10777;14289;9229;15184;5944
257,12478;3630;2711;8067;11134
258,4070;9769;10037;4509;7752
259,28;8327;13562;704;10485
260,4327;982;1484;2179;3049
261,494;1051;3840;1817;9580
262,1899;5087;7729;901;5608
263,8424;10945;2394;7631;11475
264,11607;8043;8321;2056;8282
265,1182;1010;7916;1901;1165
266,5978;16321;3971;868;3596
267,14608;15359;16319;16044;15048
268,7791;623;3754;628;6178
269,2390;918;6165;12280;12499
270,177;304;2087;5566;183
271,2212;972;3920;1176;8277
272,7050;5880;3602;5271;9033
273,16019;15485;15675;11539;15287
274,16479;13890;13616;14759;6171
275,3687;2875;284;2865;4810
276,14148;14771;12990;16476;3089
277,4433;4427;8350;7054;4441
278,13196;11233;2217;4071;336
279,15325;16442;16868;16310;16712
280,240;14809;3081;13365;2618
281,692;2337;5040;690;4536
282,1674;16350;15238;11149;6593
283,616;2351;1265;1435;8237
284,18;244;1118;445;756
285,4764;1150;7113;716;1182
286,4003;1788;4013;6347;1086
287,2234;8878;1101;3738;1284
288,4138;2878;5340;7001;8324
289,1589;13562;1558;27;11265
290,11572;12524;8400;4413;4186
291,13477;5600;7115;1571;14076
292,9598;7459;451;8159;3852
293,4258;4005;4252;4256;4655
294,181;505;4953;3717;155
295,6849;6573;5920;12275;7838
296,14503;15359;16707;16046;15119
297,2351;7941;7673;12418;13875
298,14243;12625;12493;8945;8902
299,522;1212;4332;3429;3783
300,5729;10769;11701;8612;15341
301,11568;478;29;14117;11157
302,3468;2823;9981;4888;10844
303,13787;13652;13758;13672;13778
304,5754;7501;8380;12943;10788
305,9791;15098;12331;13060;9926
306,11572;12478;6263;12523;13140
307,13143;11368;11507;13390;10347
308,2498;6787;10615;13857;6044
309,2889;2883;12353;4508;3945
310,2446;2769;4781;792;4729
311,3320;1975;4230;282;6917
312,16044;16354;12582;10892;15136
313,7673;2052;883;12847;14608
314,5951;2921;4809;3044;8522
315,9967;12564;12843;13365;2351
316,3466;13323;13587;16085;14650
317,2447;3612;10343;5426;2595
318,522;1101;1360;934;4631
319,15267;2361;6238;6833;3427
320,206;502;2629;10398;11265
321,3735;9461;2988;6863;10571
322,336;918;5035;7784;5691
323,14095;11594;10470;8232;9421
324,10494;9281;5987;7789;5164
325,12998;16350;13959;11838;12135
326,3661;4781;241;3570;2769
327,9418;6883;1620;6593;5253
328,9967;12843;13444;2490;12448
329,48;1587;1617;3279;1024
330,768;1674;3925;10531;16007
331,1137;2018;4003;4013;10813
332,2915;4778;3661;2769;4782
333,2716;2654;2743;1477;2712
334,3019;1749;4472;6520;2520
335,16275;14989;16775;16688;14093
336,4070;6219;9211;9767;10066
337,3429;15733;10967;12420;15802
338,877;535;2864;3604;2021
339,12485;4385;5589;9580;1856
340,2915;1396;1402;451;7216
341,1091;1176;6406;1114;8724
342,14258;14611;15925;14355;7898
343,13657;13771;13675;10540;13663
344,1767;3776;978;2035;1440
345,12188;8911;8407;4804;3607
346,13477;6305;1530;15513;1558
347,2339;1373;4576;2348;818
348,3237;2351;4081;881;1748
349,1573;4159;2710;5897;3502
350,12659;11884;12233;11238;6668
351,2490;8505;11204;4283;918
352,656;763;5828;12106;3411
353,7673;13195;1262;3880;10002
354,10248;4575;7446;12264;7212
355,2769;241;4781;3952;2356
356,1091;6406;1945;1209;9593
357,2222;2234;1182;3295;3809
358,16450;5162;15344;14502;16502
359,2324;1212;5585;4784;7726
360,7263;13535;12690;2742;8464
361,6092;5212;8298;5425;8956
362,15816;15879;15325;11332;16295
363,9293;11884;7578;6655;11252
364,401;237;77;5299;2595
365,9104;8832;2795;10305;10664
366,1371;12721;3746;13730;10114
367,1931;1138;1949;2435;1400
368,1091;7425;2247;2893;5549
369,4519;4876;3990;1886;3693
370,951;3671;9554;4508;956
371,6654;1070;5125;4674;5727
372,1904;10295;11202;883;5855
373,15652;10744;8242;13312;7544
374,3566;10838;9632;7867;1923
375,2486;2180;9886;3586;2215
376,656;431;268;2339;4573
377,16090;15895;16159;13485;15356
378,8386;16321;3592;442;8677
379,2124;817;2471;863;11514
380,3592;15700;15822;9229;12607
381,1187;869;12916;8573;3489
382,12257;15013;8840;6346;9276
